epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,19227.6,0.44705,0.56573,0.32617,0.91456,0.99369,1,0.995,0.95047,0.99369,1,0.995,0.96752,0.33857,0.48907,0.25013,0.81749,0.00604,0.00604,0.00604
42,19741,0.42245,0.53699,0.30983,0.91031,0.99007,1,0.995,0.96004,0.99007,1,0.995,0.98033,0.31085,0.46478,0.22842,0.81169,0.005941,0.005941,0.005941
43,20182.3,0.41705,0.54228,0.32769,0.90711,0.99084,1,0.995,0.96023,0.99084,1,0.995,0.96081,0.31493,0.46557,0.22793,0.79486,0.005842,0.005842,0.005842
44,20669.9,0.4208,0.53929,0.31364,0.91525,0.99163,1,0.995,0.95231,0.99163,1,0.995,0.97675,0.33418,0.46596,0.24042,0.79345,0.005743,0.005743,0.005743
45,21156.3,0.42307,0.56551,0.31071,0.91838,0.99192,1,0.995,0.95001,0.99192,1,0.995,0.97372,0.3448,0.47958,0.20951,0.8198,0.005644,0.005644,0.005644
46,21674.5,0.42425,0.56674,0.30571,0.91725,0.99373,1,0.995,0.9679,0.99373,1,0.995,0.96356,0.32294,0.46828,0.21932,0.81469,0.005545,0.005545,0.005545
47,22184.2,0.42247,0.53175,0.30998,0.91032,0.99485,1,0.995,0.93459,0.99485,1,0.995,0.97842,0.36885,0.47224,0.25429,0.83935,0.005446,0.005446,0.005446
48,22582.8,0.42747,0.55077,0.31568,0.92125,0.99647,0.97949,0.995,0.96938,0.99647,0.97949,0.995,0.98178,0.31757,0.43503,0.21465,0.80062,0.005347,0.005347,0.005347
49,23097.1,0.42971,0.55252,0.30721,0.91769,0.99457,1,0.995,0.96871,0.99457,1,0.995,0.97763,0.29664,0.46159,0.21887,0.78957,0.005248,0.005248,0.005248
50,23535.4,0.41866,0.53683,0.30178,0.91657,0.99433,1,0.995,0.97154,0.99433,1,0.995,0.96734,0.26118,0.44651,0.18593,0.79184,0.005149,0.005149,0.005149
